機構類型,機構名稱,地址,電話
公辦民營托嬰中心,臺北市士林托嬰中心,臺北市士林區義信里014鄰基河路130號1樓,(02)2883-6242
公辦民營托嬰中心,臺北市大同托嬰中心,臺北市大同區重慶北路3段120巷2號3樓,(02)2598-9926
公辦民營托嬰中心,臺北市大安托嬰中心,臺北市大安區羅斯福路4段21號(銘傳國小),(02)2365-6565
公辦民營托嬰中心,臺北市中山托嬰中心,臺北市中山區林森北路511號（新興國中）,(02)2521-4118
公辦民營托嬰中心,臺北市中正托嬰中心,臺北市中正區詔安街29號（螢橋國小新大樓1樓）,(02)2301-7171
公辦民營托嬰中心,臺北市新生托嬰中心,臺北市中正區新生南路1段54巷5弄2號1、2樓,(02)2351-7197
公辦民營托嬰中心,臺北市內湖托嬰中心,臺北市內湖區內湖路1段659號2樓,(02)7709-7991
公辦民營托嬰中心,臺北市大湖托嬰中心,臺北市內湖區大湖山莊街170號(大湖國小),(02)2794-3017
公辦民營托嬰中心,臺北市西湖托嬰中心,臺北市內湖區環山路1段25號忠孝樓及新忠孝樓2樓(西湖國小),(02)8797-8863
公辦民營托嬰中心,臺北市文山托嬰中心,臺北市文山區木柵路1段177號2樓,(02)2236-1388
公辦民營托嬰中心,臺北市景美托嬰中心,臺北市文山區羅斯福路6段455巷28號1至2樓,(02)8663-5692
公辦民營托嬰中心,臺北市興隆托嬰中心,臺北市文山區興隆路4段105巷49號(興隆公宅),(02)2937-4896
公辦民營托嬰中心,臺北市北投托嬰中心,臺北市北投區光明路22號2樓,(02)2897-3848
公辦民營托嬰中心,臺北市關渡托嬰中心,臺北市北投區知行路212號2樓(關渡國中),(02)2858-1758
公辦民營托嬰中心,臺北市松山托嬰中心,臺北市松山區三民路5號(西松國小),(02)3765-1775
公辦民營托嬰中心,臺北市健康托嬰中心,臺北市松山區健康路323號1樓(健康公宅),(02)2761-8321
公辦民營托嬰中心,臺北市信義托嬰中心,臺北市信義區基隆路2段99號(三興國小),(02)2378-3232
公辦民營托嬰中心,臺北市南港托嬰中心,臺北市南港區東新街65號(成德國小),(02)2785-6838
公辦民營托嬰中心,臺北市萬華托嬰中心,臺北市萬華區成都路98號(西門國小）,(02)2388-9066
公辦民營托嬰中心,臺北市萬大托嬰中心,臺北市萬華區西藏路201號(萬華國中),(02)2337-5687
公辦民營托嬰中心,臺北市青年托嬰中心,臺北市萬華區青年路188之1號(青年公宅),(02)2301-1536
